target_id,ens_gene,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,,,,
PA2159,PA2159,5.58E-09,8.01E-07,3.173581278,0.544456949,7.041240221,3.285189928,0.001832637,0.327797975,0.442817417,0.442817417,,,,
PA2147,katE,5.84E-09,8.17E-07,2.975456969,0.511132717,6.840630708,2.836629486,0.002460757,0.223322035,0.389424224,0.389424224,,,,
PA0764,mucB,7.73E-09,1.05E-06,2.808389274,0.486361673,6.695451163,2.630838684,0.002527166,0.328377323,0.35229435,0.35229435,,,,
PA1101,fliF,8.74E-09,1.16E-06,-2.676343415,0.465168463,5.626914328,2.40850226,0.008750876,0.315821672,0.153510592,0.315821672,,,,
PA3362,PA3362,1.09E-08,1.41E-06,2.183496558,0.381960467,5.720982986,1.605369723,0.004936595,0.213904103,0.163216856,0.213904103,,,,
PA4838,PA4838,1.61E-08,2.04E-06,2.71163876,0.479962726,6.292533376,2.482332492,0.005016658,0.340529669,0.255578158,0.340529669,,,,
PA2145,PA2145,1.66E-08,2.06E-06,2.188650681,0.387800124,5.139218636,1.617524265,0.009066409,0.216516995,0.140568885,0.216516995,,,,
PA3551,algA,2.08E-08,2.52E-06,3.339526343,0.595793255,7.358814567,3.517771561,0.001393068,0.21365781,0.531061336,0.531061336,,,,
PA2100,PA2100,2.75E-08,3.26E-06,2.423319579,0.436114257,6.410579218,1.944387636,0.002368892,0.225936485,0.282924576,0.282924576,,,,
PA3692,lptF,3.42E-08,3.97E-06,3.808471167,0.690105515,7.997354029,4.525578769,0.001144476,0.216659249,0.713223955,0.713223955,,,,
PA0355,pfpI,4.49E-08,5.11E-06,1.996226328,0.364923921,5.836007233,1.355279228,0.003715179,0.196039024,0.177751608,0.196039024,,,,
PA2143,PA2143,4.75E-08,5.29E-06,2.750730793,0.50376894,6.798255451,2.375667131,0.002230139,0.129908814,0.378444579,0.378444579,,,,
PA3007,lexA,5.96E-08,6.51E-06,3.619544343,0.667819951,7.837343928,4.465008153,0.00115501,0.667192211,0.667820222,0.667820222,,,,
PA0083,tssB1,6.70E-08,7.17E-06,2.246349905,0.416057948,5.014519481,1.721551427,0.013922759,0.245733565,0.14967068,0.245733565,,,,
PA4065,PA4065,6.97E-08,7.31E-06,2.339274005,0.4338442,6.396432966,1.699942538,0.00277341,0.070078686,0.279557775,0.279557775,,,,
PA3599,PA3599,8.38E-08,8.63E-06,3.341953484,0.623649034,7.536889254,3.487129333,0.001630586,0.169036173,0.581776592,0.581776592,,,,
PA3598,PA3598,8.74E-08,8.83E-06,1.923946895,0.35953641,5.927011759,1.18258994,0.00389076,0.086257295,0.190008885,0.190008885,,,,
PA4229,pchC,9.13E-08,9.06E-06,2.771197773,0.518627592,6.887121534,2.385770227,0.001864927,0.100521446,0.401596943,0.401596943,,,,
PA4230,pchB,1.02E-07,9.90E-06,2.447076388,0.459637782,6.541613003,1.965775735,0.002346694,0.209304407,0.314553642,0.314553642,,,,
PA2142,PA2142,1.45E-07,1.39E-05,2.266951432,0.431071846,6.379623117,1.63398561,0.003151808,0.112179408,0.275582597,0.275582597,,,,
PA3691,PA3691,1.48E-07,1.40E-05,3.475420536,0.661426368,7.792702406,3.972038206,0.001159788,0.434432506,0.655067472,0.655067472,,,,
PA0999,pqsD,2.19E-07,2.03E-05,2.435767262,0.470033869,6.223689343,2.045006852,0.003532779,0.327864978,0.240688617,0.327864978,,,,
PA0996,pqsA,2.87E-07,2.61E-05,2.477659091,0.482832657,6.675832666,2.06318703,0.002304809,0.274631015,0.347386253,0.347386253,,,,
PA1452,flhA,2.93E-07,2.62E-05,-2.553917526,0.498047796,5.97757099,2.254410348,0.006609478,0.365467933,0.196888296,0.365467933,,,,
PA4141,PA4141,3.06E-07,2.69E-05,3.873081403,0.756477222,8.532587707,4.79443974,0.000751918,0.367012924,0.857634763,0.857634763,,,,
PA0752,PA0752,4.11E-07,3.51E-05,-2.125454308,0.419717534,5.042038814,1.566662176,0.016461156,0.247783057,0.14720807,0.247783057,,,,
PA2154,PA2154,4.15E-07,3.51E-05,1.658510631,0.327647556,5.570051885,0.954020758,0.005184376,0.155845005,0.149038209,0.155845005,,,,
PA2158,PA2158,4.18E-07,3.51E-05,2.322721878,0.458988963,6.538131783,1.660590299,0.002292359,0.050306669,0.313713944,0.313713944,,,,
PA1098,fleS,4.42E-07,3.60E-05,-2.451346003,0.48543839,5.652750066,2.085509685,0.008334421,0.345141226,0.15591602,0.345141226,,,,
PA1592,PA1592,4.37E-07,3.60E-05,3.15536356,0.62458619,7.455822297,3.45502525,0.001241457,0.583920406,0.558621626,0.583920406,,,,
PA2172,PA2172,4.73E-07,3.79E-05,2.46318297,0.489011604,6.711686629,1.908091514,0.002322017,0.107565997,0.356376506,0.356376506,,,,
